area,ca,curso,modalidade,N,fracN,idd,iddc,idd_faixa,ano
21,Privada sem fins lucrativos,47716,Educação Presencial,44,0.8,-0.6851,1.8731,2,2019
5710,Privada sem fins lucrativos,47718,Educação Presencial,66,0.673469388,-0.3776,2.4033,3,2019
12,Privada sem fins lucrativos,49060,Educação Presencial,39,0.75,-1.151,1.98,3,2019
6307,Privada sem fins lucrativos,108224,Educação Presencial,36,0.734693878,-1.2384,1.969,3,2019
28,Privada sem fins lucrativos,19940,Educação Presencial,38,0.62295082,-1.4686,1.4821,2,2019
6,Privada sem fins lucrativos,20406,Educação Presencial,106,0.848,-0.1008,2.3197,3,2019
19,Privada sem fins lucrativos,20459,Educação Presencial,57,0.678571429,-0.8133,2.0311,3,2019
55,Privada sem fins lucrativos,1349110,Educação Presencial,21,0.807692308,-0.4441,2.0398,3,2019
5806,Privada sem fins lucrativos,1349111,Educação Presencial,10,0.5,-0.1269,2.4827,3,2019
23,Privada sem fins lucrativos,47706,Educação Presencial,79,0.822916667,-0.3023,2.3453,3,2019
5902,Privada sem fins lucrativos,1258088,Educação Presencial,3,0.6,-0.1015,2.1328,3,2019
6307,Privada sem fins lucrativos,118622,Educação Presencial,16,0.8,-0.6371,2.1879,3,2019
5710,Privada sem fins lucrativos,1259378,Educação Presencial,4,1.0,-2.2204,1.2747,2,2019
5806,Privada sem fins lucrativos,1180143,Educação Presencial,12,0.631578947,0.5473,2.728,3,2019
4003,Privada sem fins lucrativos,110564,Educação Presencial,8,0.8,-2.9137,1.1679,2,2019
6208,Privada sem fins lucrativos,18218,Educação Presencial,12,0.52173913,0.2726,2.5922,3,2019
28,Privada com fins lucrativos,104480,Educação Presencial,118,0.710843373,-0.8071,1.9315,2,2019
36,Privada com fins lucrativos,98746,Educação Presencial,47,0.618421053,-0.7073,2.159,3,2019
21,Privada com fins lucrativos,99519,Educação Presencial,127,0.75147929,-0.5198,1.9868,3,2019
69,Privada com fins lucrativos,1285113,Educação Presencial,40,0.606060606,-0.7897,2.1436,3,2019
19,Privada com fins lucrativos,1304677,Educação Presencial,21,0.538461538,-1.1168,1.8646,2,2019
6208,Privada com fins lucrativos,1162836,Educação Presencial,62,0.746987952,-0.2327,2.3876,3,2019
95,Privada com fins lucrativos,1259759,Educação Presencial,41,0.630769231,-1.0806,1.9309,2,2019
5710,Privada com fins lucrativos,1148864,Educação Presencial,143,0.733333333,-0.1289,2.5556,3,2019
55,Privada com fins lucrativos,1043865,Educação Presencial,88,0.838095238,-0.0371,2.3369,3,2019
27,Privada com fins lucrativos,1153405,Educação Presencial,63,0.777777778,-0.1303,2.4297,3,2019
6410,Privada com fins lucrativos,1155584,Educação Presencial,22,0.956521739,0.9679,3.8361,4,2019
6307,Privada com fins lucrativos,1156975,Educação Presencial,46,0.696969697,0.0665,2.444,3,2019
5806,Privada com fins lucrativos,1156978,Educação Presencial,69,0.741935484,-0.0605,2.5069,3,2019
23,Privada com fins lucrativos,104478,Educação Presencial,139,0.716494845,-0.079,2.4716,3,2019
6,Pública Estadual,60658,Educação Presencial,50,0.806451613,0.2655,2.7355,3,2019
12,Pública Estadual,60660,Educação Presencial,116,0.865671642,-1.313,1.8003,2,2019
5710,Pública Estadual,63313,Educação Presencial,22,0.647058824,1.683,3.6653,4,2019
4003,Pública Estadual,63315,Educação Presencial,16,0.888888889,0.9329,2.7675,3,2019
5806,Pública Estadual,63316,Educação Presencial,25,0.641025641,0.7102,2.7873,3,2019
5902,Pública Estadual,71067,Educação Presencial,11,0.916666667,-0.6639,1.8595,2,2019
19,Pública Estadual,1330337,Educação Presencial,22,1.0,-0.0701,2.4389,3,2019
5814,Pública Estadual,1292568,Educação Presencial,7,0.538461538,1.1888,3.1941,4,2019
6208,Pública Estadual,1299203,Educação Presencial,11,0.733333333,1.6111,3.1341,4,2019
6008,Pública Estadual,150151,Educação Presencial,31,0.815789474,0.3139,2.5284,3,2019
23,Pública Estadual,60656,Educação Presencial,50,0.943396226,0.9859,3.0739,4,2019
28,Privada com fins lucrativos,1364791,Educação Presencial,0,0.0,,,SC,2019
21,Privada com fins lucrativos,1300510,Educação Presencial,3,0.6,9.5318,5.0,5,2019
6208,Privada com fins lucrativos,1258629,Educação Presencial,18,0.9,-0.7128,2.1933,3,2019
5710,Privada com fins lucrativos,1258631,Educação Presencial,20,0.8,-0.1636,2.5344,3,2019
36,Privada com fins lucrativos,1364789,Educação Presencial,0,0.0,,,SC,2019
36,Privada com fins lucrativos,51386,Educação Presencial,11,1.0,1.4526,3.4276,4,2019
23,Privada com fins lucrativos,60030,Educação Presencial,38,0.690909091,-0.1426,2.4356,3,2019
19,Privada com fins lucrativos,60034,Educação Presencial,18,0.75,-0.6108,2.1422,3,2019
28,Privada com fins lucrativos,60036,Educação Presencial,19,0.791666667,-0.7164,1.9931,3,2019
5806,Privada com fins lucrativos,60488,Educação Presencial,15,0.789473684,-0.8401,2.2233,3,2019
5814,Privada com fins lucrativos,60496,Educação Presencial,32,0.8,-0.4923,2.5092,3,2019
6,Privada com fins lucrativos,65065,Educação Presencial,23,0.92,-1.0601,1.2306,2,2019
55,Privada com fins lucrativos,99120,Educação Presencial,27,0.9,-1.2903,1.422,2,2019
69,Privada com fins lucrativos,99168,Educação Presencial,0,0.0,,,SC,2019
95,Privada com fins lucrativos,1399043,Educação Presencial,7,0.777777778,-4.3324,0.3376,1,2019
5710,Privada com fins lucrativos,1160997,Educação Presencial,42,0.807692308,-0.1077,2.5686,3,2019
5902,Privada com fins lucrativos,1161019,Educação Presencial,32,0.864864865,-0.2039,2.0831,3,2019
6405,Pública Estadual,70917,Educação Presencial,33,0.846153846,-0.8653,1.513,2,2019
17,Pública Federal,1167330,Educação Presencial,20,0.952380952,0.5352,3.1795,4,2019
6208,Pública Federal,112088,Educação Presencial,22,0.846153846,-0.1188,2.4338,3,2019
19,Pública Federal,112090,Educação Presencial,11,0.785714286,1.0223,3.0383,4,2019
51,Pública Federal,112108,Educação Presencial,18,0.947368421,-0.5305,2.3972,3,2019
17,Pública Federal,101620,Educação Presencial,13,0.764705882,0.8481,3.4278,4,2019
6307,Pública Federal,101622,Educação Presencial,4,0.571428571,-1.6941,1.8031,2,2019
5710,Pública Federal,16901,Educação Presencial,21,0.84,1.9442,3.8253,4,2019
23,Pública Estadual,98667,Educação Presencial,14,0.736842105,0.9532,3.0555,4,2019
36,Privada com fins lucrativos,67588,Educação Presencial,54,0.9,-1.2735,1.8265,2,2019
6,Privada com fins lucrativos,96461,Educação Presencial,75,0.79787234,-0.4442,1.9298,2,2019
19,Privada com fins lucrativos,67586,Educação Presencial,51,0.739130435,-0.9788,1.9403,2,2019
90,Privada com fins lucrativos,88864,Educação Presencial,9,0.642857143,1.3994,2.9753,4,2019
28,Privada com fins lucrativos,1376344,Educação Presencial,1,1.0,,,SC,2019
5710,Privada com fins lucrativos,1185157,Educação Presencial,113,0.843283582,0.0781,2.6824,3,2019
92,Privada com fins lucrativos,105764,Educação Presencial,1,0.333333333,,,SC,2019
23,Privada com fins lucrativos,110582,Educação Presencial,47,0.484536082,-0.8326,2.0454,3,2019
17,Privada com fins lucrativos,83301,Educação Presencial,9,0.692307692,-2.3899,0.8591,1,2019
91,Pública Federal,91907,Educação Presencial,15,0.789473684,0.1045,2.823,3,2019
17,Pública Federal,16903,Educação Presencial,17,0.772727273,0.9188,3.4838,4,2019
12,Pública Federal,16904,Educação Presencial,59,0.967213115,-0.8365,2.3285,3,2019
51,Pública Federal,97021,Educação Presencial,8,0.888888889,2.103,4.0954,5,2019
21,Pública Federal,97073,Educação Presencial,24,0.774193548,-0.0119,2.3363,3,2019
23,Pública Federal,1161609,Educação Presencial,21,0.913043478,0.436,2.7629,3,2019
5,Pública Federal,1186099,Educação Presencial,22,0.88,0.4991,3.0643,4,2019
5806,Pública Federal,1129168,Educação Presencial,10,0.833333333,1.4449,3.0546,4,2019
6405,Pública Estadual,98618,Educação Presencial,0,0.0,,,SC,2019
17,Pública Estadual,98657,Educação Presencial,1,0.125,,,SC,2019
23,Privada sem fins lucrativos,104534,Educação Presencial,32,0.864864865,-0.3477,2.3196,3,2019
23,Privada com fins lucrativos,17046,Educação Presencial,74,0.913580247,-0.0283,2.5003,3,2019
69,Privada com fins lucrativos,1322367,Educação Presencial,17,0.772727273,1.2761,2.9229,3,2019
55,Privada com fins lucrativos,1279550,Educação Presencial,54,0.947368421,-0.0395,2.3352,3,2019
5,Privada com fins lucrativos,105968,Educação Presencial,94,0.94,-0.0729,2.3788,3,2019
3501,Privada sem fins lucrativos,1257586,Educação Presencial,34,0.944444444,-0.4137,2.3809,3,2019
21,Privada sem fins lucrativos,1257593,Educação Presencial,66,0.868421053,-0.555,1.9626,3,2019
17,Privada sem fins lucrativos,109484,Educação Presencial,29,0.852941176,-1.0041,1.9584,3,2019
5710,Privada sem fins lucrativos,102634,Educação Presencial,123,0.953488372,-0.0158,2.6249,3,2019
6405,Pública Federal,1186268,Educação Presencial,26,0.619047619,-0.9684,1.4392,2,2019
17,Pública Federal,1200688,Educação Presencial,9,0.6,0.7379,3.3404,4,2019
19,Pública Federal,1200689,Educação Presencial,16,0.8,0.5073,2.7557,3,2019
51,Pública Federal,1200690,Educação Presencial,2,0.166666667,,,SC,2019
6307,Pública Federal,1205389,Educação Presencial,19,0.404255319,0.7272,2.6845,3,2019
