area,ca,curso,modalidade,N,idd,idd_faixa,ano
13,Privada sem fins lucrativos,4311,Educação Presencial,21,-0.430115528,3,2018
2,Privada sem fins lucrativos,4313,Educação Presencial,139,-0.356225455,3,2018
1,Privada com fins lucrativos,4343,Educação Presencial,38,0.751960059,3,2018
22,Privada com fins lucrativos,4344,Educação Presencial,24,0.710257461,3,2018
2,Privada sem fins lucrativos,4359,Educação Presencial,42,1.099402114,4,2018
18,Privada sem fins lucrativos,4403,Educação Presencial,81,0.691959428,4,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4489,Educação Presencial,7,-3.806610031,2,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4491,Educação Presencial,3,-4.48046794,1,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4532,Educação Presencial,159,-0.195799568,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4541,Educação Presencial,7,-5.511748494,1,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4546,Educação Presencial,7,-4.122347765,1,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4548,Educação Presencial,59,-0.679202177,3,2018
2,Privada sem fins lucrativos,4594,Educação Presencial,239,-0.261142066,3,2018
1,Privada sem fins lucrativos,4599,Educação Presencial,44,-0.150884404,3,2018
2,Privada com fins lucrativos,4672,Educação Presencial,200,-0.019164963,3,2018
1,Privada sem fins lucrativos,4699,Educação Presencial,18,-1.560650736,2,2018
2,Privada sem fins lucrativos,4701,Educação Presencial,19,-0.784928814,3,2018
22,Privada sem fins lucrativos,4725,Educação Presencial,37,-0.383186002,3,2018
13,Privada sem fins lucrativos,4726,Educação Presencial,10,-0.038373303,3,2018
2,Privada sem fins lucrativos,4735,Educação Presencial,98,-0.211716296,3,2018
22,Privada sem fins lucrativos,4760,Educação Presencial,102,0.227531417,3,2018
18,Privada sem fins lucrativos,4851,Educação Presencial,70,-0.105025957,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4869,Educação Presencial,2,-6.361131734,1,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4870,Educação Presencial,2,,SC,2018
18,Privada com fins lucrativos,4912,Educação Presencial,48,-0.863773527,3,2018
1,Privada com fins lucrativos,4918,Educação Presencial,40,-0.122982729,3,2018
2,Privada com fins lucrativos,4923,Educação Presencial,47,-0.219690378,3,2018
29,Privada com fins lucrativos,4926,Educação Presencial,43,-0.190271732,3,2018
18,Privada com fins lucrativos,4933,Educação Presencial,37,-0.876145602,3,2018
1,Privada com fins lucrativos,4946,Educação Presencial,34,-0.186572092,3,2018
81,Privada com fins lucrativos,4951,Educação Presencial,13,-3.881265484,1,2018
18,Privada com fins lucrativos,4953,Educação Presencial,45,0.038538957,3,2018
26,Privada com fins lucrativos,4958,Educação Presencial,10,2.287173984,4,2018
2,Privada com fins lucrativos,4961,Educação Presencial,42,0.475580821,3,2018
2,Privada com fins lucrativos,4964,Educação Presencial,67,-0.548803121,3,2018
18,Privada com fins lucrativos,4965,Educação Presencial,63,-0.049919651,3,2018
1,Privada com fins lucrativos,4972,Educação Presencial,22,0.278796891,3,2018
38,Privada com fins lucrativos,5073,Educação Presencial,5,-0.726234156,3,2018
29,Privada com fins lucrativos,5074,Educação Presencial,30,-0.158752442,3,2018
2,Privada com fins lucrativos,5080,Educação Presencial,144,0.38098831,3,2018
22,Privada com fins lucrativos,5081,Educação Presencial,62,-0.534427202,3,2018
1,Privada com fins lucrativos,5084,Educação Presencial,86,0.12429424,3,2018
26,Privada com fins lucrativos,5085,Educação Presencial,46,-0.177654705,3,2018
1,Privada sem fins lucrativos,5112,Educação Presencial,79,0.168275775,3,2018
18,Privada sem fins lucrativos,5118,Educação Presencial,131,-0.603517459,3,2018
22,Privada sem fins lucrativos,5129,Educação Presencial,35,0.661809096,3,2018
67,Privada sem fins lucrativos,5132,Educação Presencial,20,0.508632987,3,2018
2,Privada sem fins lucrativos,5187,Educação Presencial,182,0.264011923,3,2018
1,Privada sem fins lucrativos,5227,Educação Presencial,29,-0.690164968,3,2018
38,Privada sem fins lucrativos,5228,Educação Presencial,6,-0.838367239,3,2018
22,Privada sem fins lucrativos,5233,Educação Presencial,16,1.678469773,4,2018
2,Privada sem fins lucrativos,5236,Educação Presencial,2,0.246667513,3,2018
2,Privada sem fins lucrativos,5275,Educação Presencial,294,-0.003075647,3,2018
22,Privada sem fins lucrativos,5309,Educação Presencial,43,0.174778386,3,2018
1,Privada sem fins lucrativos,5310,Educação Presencial,57,0.265463867,3,2018
2,Privada sem fins lucrativos,5316,Educação Presencial,18,-2.397479027,1,2018
1,Privada sem fins lucrativos,5317,Educação Presencial,13,-6.760600908,1,2018
22,Privada sem fins lucrativos,5320,Educação Presencial,1,,SC,2018
2,Privada sem fins lucrativos,5329,Educação Presencial,17,1.742473155,4,2018
13,Privada sem fins lucrativos,5331,Educação Presencial,3,-5.383064161,1,2018
1,Privada sem fins lucrativos,5332,Educação Presencial,7,-1.475089065,2,2018
22,Privada sem fins lucrativos,5333,Educação Presencial,0,,SC,2018
1,Privada sem fins lucrativos,5337,Educação Presencial,11,1.869690171,4,2018
22,Privada sem fins lucrativos,5338,Educação Presencial,5,11.48879587,5,2018
1,Privada sem fins lucrativos,5343,Educação Presencial,19,-1.80282087,2,2018
22,Privada sem fins lucrativos,5347,Educação Presencial,5,3.534021906,5,2018
1,Privada sem fins lucrativos,5348,Educação Presencial,13,0.675308964,3,2018
22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,5380,Educação Presencial,40,0.662653949,3,2018
1,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,5381,Educação Presencial,22,1.387489533,4,2018
2,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,5382,Educação Presencial,46,0.85020003,4,2018
13,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,5383,Educação Presencial,20,0.881426994,3,2018
13,Privada sem fins lucrativos,5412,Educação Presencial,0,,SC,2018
22,Privada sem fins lucrativos,5413,Educação Presencial,32,-0.273824209,3,2018
1,Privada com fins lucrativos,5474,Educação Presencial,252,0.115368472,3,2018
22,Privada com fins lucrativos,5475,Educação Presencial,123,0.125932856,3,2018
13,Privada com fins lucrativos,5476,Educação Presencial,61,0.26634479,3,2018
26,Privada com fins lucrativos,5492,Educação Presencial,69,0.484347492,3,2018
67,Privada com fins lucrativos,5493,Educação Presencial,8,4.804180929,5,2018
2,Privada com fins lucrativos,5498,Educação Presencial,337,0.124725745,3,2018
1,Privada sem fins lucrativos,5567,Educação Presencial,78,-0.323020195,3,2018
22,Privada sem fins lucrativos,5568,Educação Presencial,34,-0.64319117,3,2018
13,Privada sem fins lucrativos,5575,Educação Presencial,11,-1.562757822,2,2018
22,Privada sem fins lucrativos,5576,Educação Presencial,50,0.404958009,3,2018
1,Privada sem fins lucrativos,5577,Educação Presencial,55,0.617342313,3,2018
38,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,5613,Educação Presencial,21,0.396779092,3,2018
